id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52874,Beef and Mustard Pie,,Beef,British,https://www.themealdb.com/images/media/meals/sytuqu1511553755.jpg,https://www.youtube.com/watch?v=nMyBC9staMU,Beef,Plain Flour,Rapeseed Oil,Red Wine,Beef Stock,Onion,Carrots,Thyme,Mustard,Egg Yolks,Puff Pastry,Green Beans,Butter,Salt,Pepper,,,,,,1kg,2 tbs,2 tbs,200ml,400ml,1 finely sliced,2 chopped,3 sprigs,2 tbs,2 free-range,400g,300g,25g,pinch,pinch,,,,,,https://www.bbc.co.uk/food/recipes/beef_and_mustard_pie_58002
52878,Beef and Oyster pie,,Beef,British,https://www.themealdb.com/images/media/meals/wrssvt1511556563.jpg,https://www.youtube.com/watch?v=ONX74yP6JnI,Beef,Olive Oil,Shallots,Garlic,Bacon,Thyme,Bay Leaf,Stout,Beef Stock,Corn Flour,Oysters,Plain Flour,Salt,Butter,Eggs,,,,,,900g,3 tbs,3,2 cloves minced,125g,1 tbs chopped,2,330ml,400ml,2 tbs,8,400g,pinch,250g,To Glaze,,,,,,https://www.bbc.co.uk/food/recipes/beef_and_oyster_pie_65230
52904,Beef Bourguignon,,Beef,French,https://www.themealdb.com/images/media/meals/vtqxtu1511784197.jpg,https://www.youtube.com/watch?v=SQnr4Z-7rok,Goose Fat,Beef Shin,Bacon,Challots,Chestnut Mushroom,Garlic Clove,Bouquet Garni,Tomato Puree,Red Wine,Celeriac,Olive Oil,Thyme,Rosemary,Bay Leaf,Cardamom,,,,,,3 tsp,600g,100g ,350g,250g,2 sliced,1,1 tbs,750 ml ,600g,2 tbs,sprigs of fresh,sprigs of fresh,2,4,,,,,,https://www.bbcgoodfood.com/recipes/5032/beef-bourguignon
52812,Beef Brisket Pot Roast,,Beef,American,https://www.themealdb.com/images/media/meals/ursuup1487348423.jpg,https://www.youtube.com/watch?v=gh48wM6bPWQ,Beef Brisket,Salt,Onion,Garlic,Thyme,Rosemary,Bay Leaves,beef stock,Carrots,Mustard,Potatoes,,,,,,,,,,4-5 pound,Dash,3,5 cloves,1 Sprig,1 sprig ,4,2 cups,3 Large,1 Tbsp,4 Mashed,,,,,,,,,,http://www.simplyrecipes.com/recipes/beef_brisket_pot_roast/
52873,Beef Dumpling Stew,,Beef,British,https://www.themealdb.com/images/media/meals/uyqrrv1511553350.jpg,https://www.youtube.com/watch?v=6NgheY-r5t0,Olive Oil,Butter,Beef,Plain Flour,Garlic,Onions,Celery,Carrots,Leek,Swede,Red Wine,Beef Stock,Bay Leaf,Thyme,Parsley,Plain Flour,Baking Powder,Suet,Water,,2 tbs,25g,750g,2 tblsp ,2 cloves minced,175g,150g,150g,2 chopped,200g,150ml,500g,2,3 tbs,3 tblsp chopped,125g,1 tsp ,60g,Splash,,https://www.bbc.co.uk/food/recipes/beefstewwithdumpling_87333
52952,Beef Lo Mein,,Beef,Chinese,https://www.themealdb.com/images/media/meals/1529444830.jpg,https://www.youtube.com/watch?v=ZT9LSsNXXe0,Beef,Salt,Pepper,Sesame Seed Oil,Egg,Starch,Oil,Noodles,Onion,Minced Garlic,Ginger,Bean Sprouts,Mushrooms,Water,Oyster Sauce,Sugar,Soy Sauce,,,,1/2 lb,pinch,pinch,2 tsp,1/2 ,3 tbs,5 tbs,1/4 lb,1/2 cup ,1 tsp ,1 tsp ,1 cup ,1 cup ,1 cup ,1 tbs,1 tsp ,1 tsp ,,,,https://sueandgambo.com/pages/beef-lo-mein
52834,Beef stroganoff,,Beef,Russian,https://www.themealdb.com/images/media/meals/svprys1511176755.jpg,https://www.youtube.com/watch?v=PQHgQX1Ss74,Olive Oil,Onions,Garlic,Butter,Mushrooms,Beef Fillet,Plain Flour,Creme Fraiche,English Mustard,Beef Stock,Parsley,,,,,,,,,,1 tbls,1,1 clove,1 tbsp,250g,500g,1tbsp,150g,1 tbsp,100ml,Topping,,,,,,,,,,https://www.bbcgoodfood.com/recipes/beef-stroganoff
52824,Beef Sunday Roast,,Beef,British,https://www.themealdb.com/images/media/meals/ssrrrs1503664277.jpg,https://www.youtube.com/watch?v=2l3-dBdNehY,Beef,Broccoli,Potatoes,Carrots,plain flour,Eggs,milk,sunflower oil,,,,,,,,,,,,,8 slices,12 florets,1 Packet,1 Packet,140g,4,200ml,drizzle (for cooking),,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/9020/best-yorkshire-puddings
52803,Beef Wellington,,Beef,British,https://www.themealdb.com/images/media/meals/vvpprx1487325699.jpg,https://www.youtube.com/watch?v=FS8u1RBdf6I,mushrooms,English Mustard,Olive Oil,Beef Fillet,Parma ham,Puff Pastry,Flour,Egg Yolks,,,,,,,,,,,,,400g,1-2tbsp,Dash,750g piece,6-8 slices,500g,Dusting,2 Beaten ,,,,,,,,,,,,,http://www.goodtoknow.co.uk/recipes/164868/Gordon-Ramsay-s-beef-Wellington
52826,Braised Beef Chilli,,Beef,Mexican,https://www.themealdb.com/images/media/meals/uuqvwu1504629254.jpg,https://www.youtube.com/watch?v=z4kSoJgsu6Y,Beef,Onions,Garlic,Olive oil,Chorizo,Cumin,All spice,Cloves,Cinnamon stick,Bay Leaves,Oregano,Ancho Chillies,Balsamic Vinegar,Plum Tomatoes,Tomato Ketchup,Dark Brown Sugar,Borlotti Beans,,,,1kg,3,4 cloves,Dash,300g,2 tsp,2 tsp,1 tsp,1 large,3,2 tsp dried,2 ancho,3 tbsp,2 x 400g,2 tbsp,2 tbsp,2 x 400g tins,,,,http://www.telegraph.co.uk/food-and-drink/recipes/braised-beef-chilli-con-carne/
