id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52893,Apple & Blackberry Crumble,,Dessert,British,https://www.themealdb.com/images/media/meals/xvsurr1511719182.jpg,https://www.youtube.com/watch?v=4vhcOwVBDO4,Plain Flour,Caster Sugar,Butter,Braeburn Apples,Butter,Demerara Sugar,Blackberrys,Cinnamon,Ice Cream,,,,,,,,,,,,120g,60g,60g,300g,30g,30g,120g,¼ teaspoon,to serve,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/778642/apple-and-blackberry-crumble
52768,Apple Frangipan Tart,,Dessert,British,https://www.themealdb.com/images/media/meals/wxywrq1468235067.jpg,https://www.youtube.com/watch?v=rp8Slv4INLk,digestive biscuits,butter,Bramley apples,"butter, softened",caster sugar,"free-range eggs, beaten",ground almonds,almond extract,flaked almonds,,,,,,,,,,,,175g/6oz,75g/3oz,200g/7oz,75g/3oz,75g/3oz,2,75g/3oz,1 tsp,50g/1¾oz,,,,,,,,,,,,
52767,Bakewell tart,,Dessert,British,https://www.themealdb.com/images/media/meals/wyrqqq1468233628.jpg,https://www.youtube.com/watch?v=1ahpSTf_Pvk,plain flour,chilled butter,cold water,raspberry jam,butter,caster sugar,ground almonds,"free-range egg, beaten",almond extract,flaked almonds,,,,,,,,,,,175g/6oz,75g/2½oz,2-3 tbsp,1 tbsp,125g/4½oz,125g/4½oz,125g/4½oz,1,½ tsp,50g/1¾oz,,,,,,,,,,,
52855,Banana Pancakes,,Dessert,American,https://www.themealdb.com/images/media/meals/sywswr1511383814.jpg,https://www.youtube.com/watch?v=kSKtb2Sv-_U,Banana,Eggs,Baking Powder,Vanilla Extract,Oil,Pecan Nuts,Raspberries,,,,,,,,,,,,,,1 large,2 medium,pinch,spinkling,1 tsp ,25g,125g,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/banana-pancakes
52894,Battenberg Cake,,Dessert,British,https://www.themealdb.com/images/media/meals/ywwrsp1511720277.jpg,https://www.youtube.com/watch?v=aB41Q7kDZQ0,Butter,Caster Sugar,Self-raising Flour,Almonds,Baking Powder,Eggs,Vanilla Extract,Almond Extract,Butter,Caster Sugar,Self-raising Flour,Almonds,Baking Powder,Eggs,Vanilla Extract,Almond Extract,Pink Food Colouring,Apricot,Marzipan,Icing Sugar,175g,175g,140g,50g,½ tsp,3 Medium,½ tsp,¼ teaspoon,175g,175g,140g,50g,½ tsp,3 Medium,½ tsp,¼ teaspoon,½ tsp,200g,1kg,Dusting,https://www.bbcgoodfood.com/recipes/1120657/battenberg-cake
52928,BeaverTails,,Dessert,Canadian,https://www.themealdb.com/images/media/meals/ryppsv1511815505.jpg,https://www.youtube.com/watch?v=2G07UOqU2e8,Water,Yeast,Sugar,Milk,Butter,Eggs,Salt,Flour,Oil,Lemon,Sugar,Cinnamon,,,,,,,,,1/2 cup ,2 parts ,1/2 cup ,1/2 cup ,6 tblsp,2,1 ½ tsp,2-1/2 cups,for frying,garnish,garnish,garnish,,,,,,,,,https://www.tastemade.com/videos/beavertails
52891,Blackberry Fool,,Dessert,British,https://www.themealdb.com/images/media/meals/rpvptu1511641092.jpg,https://www.youtube.com/watch?v=kniRGjDLFrQ,Hazlenuts,Butter,Caster Sugar,Lemon,Plain Flour,Baking Powder,Blackberrys,Sugar,Caster Sugar,Lemon Juice,Double Cream,Yogurt,Mint,,,,,,,,50g,125g,150g,Grated,150g,½ tsp,600g,75g,2 tbs,1 tbs,300ml ,100ml,Garnish with,,,,,,,,https://www.bbc.co.uk/food/recipes/blackberry_fool_with_11859
52792,Bread and Butter Pudding,,Dessert,British,https://www.themealdb.com/images/media/meals/xqwwpy1483908697.jpg,https://www.youtube.com/watch?v=Vz5W1-BmOE4,butter,bread,sultanas,cinnamon,milk,double cream,eggs,sugar,nutmeg,,,,,,,,,,,,25g/1oz,8 thin slices,50g/2oz,2 tsp,350ml/12fl,50ml/2fl oz,2 free-range,25g/1oz,"grated, to taste",,,,,,,,,,,,https://cooking.nytimes.com/recipes/1018529-coq-au-vin
52961,Budino Di Ricotta,,Dessert,Italian,https://www.themealdb.com/images/media/meals/1549542877.jpg,https://www.youtube.com/watch?v=6dzd6Ra6sb4,Ricotta,Eggs,Flour,Sugar,Cinnamon,Lemons,Dark Rum,Icing Sugar,,,,,,,,,,,,,500g,4 large,3 tbs,250g,1 tsp ,Grated Zest of 2,5 tbs,sprinking,,,,,,,,,,,,,https://thehappyfoodie.co.uk/recipes/ricotta-cake-budino-di-ricotta
52923,Canadian Butter Tarts,,Dessert,Canadian,https://www.themealdb.com/images/media/meals/wpputp1511812960.jpg,https://www.youtube.com/watch?v=WUpaOGghOdo,Shortcrust Pastry,Eggs,Muscovado Sugar,Raisins,Vanilla Extract,Butter,Single Cream,Walnuts,,,,,,,,,,,,,375g,2 large,175g,100g ,1 tsp ,50g,4 tsp,50g,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1837/canadian-butter-tarts
