id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource,
52769,Kapsalon,,Lamb,Dutch,https://www.themealdb.com/images/media/meals/sxysrt1468240488.jpg,https://www.youtube.com/watch?v=UIcuiU1kV8I,Fries,Doner Meat,Garlic sauce,Hotsauce,Lettuce,Tomato,Cucumber,Gouda cheese,,,,,,,,,,,,,250 Grams,500 Grams,Topping,Topping,1 Bulb,1,3rd,100 Grams,,,,,,,,,,,,,,
52974,Keleya Zaara,,Lamb,Tunisian,https://www.themealdb.com/images/media/meals/8x09hy1560460923.jpg,https://www.youtube.com/watch?v=u_OSIChzuL0,Olive Oil,Lamb,Saffron,Onion,Water,Parsley,Butter,Lemon,,,,,,,,,,,,,4 tbs,750g,1 1/2 tsp ,1 Large Chopped,25 ml,30g,1 tbs,1, , , , , , , , , , , , ,http://allrecipes.co.uk/recipe/43723/keleya-zaara-tunisian-lamb-with-saffron.aspx,
52877,Lamb and Potato pie,,Lamb,British,https://www.themealdb.com/images/media/meals/sxrpws1511555907.jpg,https://www.youtube.com/watch?v=NCyPaaUNYUk,Lamb Shoulder,Flour,Vegetable Oil,Onion,Carrots,Vegetable Stock,Potatoes,Shortcrust Pastry,Eggs,,,,,,,,,,,,500g,1 tbls,Dash,1 sliced,2 sliced,350ml/12fl,500g,450g,To Glaze,,,,,,,,,,,,https://www.bbc.co.uk/food/recipes/lambandpotatopie_83913,
52805,Lamb Biryani,,Lamb,Indian,https://www.themealdb.com/images/media/meals/xrttsx1487339558.jpg,https://www.youtube.com/watch?v=r7SYVSG5nxo,Cashew nuts,Khus khus,Cumin seeds,Onions,Ginger garlic paste,Garlic,Mint,Cilantro,Saffron,Ghee,Basmati rice,Full fat yogurt,Cumin Seeds,Bay leaf,Cinnamon,Cloves,Cardamom,Lamb,Red Chilli powder,Biryani masala,12,½ tbsp,½ tbsp,3 sliced thinly,2 tsp,4 whole,Leaves,Leaves,½ tsp dissolved in ½ cup warm milk,2 tbsp,2 Cups,½ cup,1 tbsp,½,1 thin piece,3,2,1 lb,1 tsp,1 tbsp,http://www.relishthebite.com/restaurant-style-lamb-biryani/,
52808,Lamb Rogan josh,,Lamb,Indian,https://www.themealdb.com/images/media/meals/vvstvq1487342592.jpg,https://www.youtube.com/watch?v=NZVo32n7iS8,Onion,Sunflower Oil,Garlic,Ginger,Madras Paste,Paprika,cinnamon stick,Cardamom,Clove,Bay Leaf,Tomato Purée,Lamb,Greek yogurt,Coriander,,,,,,,2 quartered,4 tbsp,4 cloves,Thumb sized peeled and very finely grated,2 tbsp,2 tsp,1,6 bashed to break shells,4,2,1 tbsp,1kg cubed,150ml,Garnish chopped ,,,,,,,http://www.bbcgoodfood.com/recipes/9643/onepan-rogan-josh,
52843,Lamb Tagine,,Lamb,Moroccan,https://www.themealdb.com/images/media/meals/yuwtuu1511295751.jpg,https://www.youtube.com/watch?v=bR5Cqu84S_k,Olive Oil,Onion,Carrots,Lamb Leg,Garlic,Cumin,Ginger,Saffron,Cinnamon,Honey,Apricot,Vegetable Stock Cube,Butternut Squash,Couscous,Parsley,,,,,,2 tblsp ,1 finely sliced,2 chopped,500g,2 cloves minced,½ tsp,½ tsp,¼ tsp,1 tsp ,1 tblsp ,100g ,1,1 medium chopped,Steamed,Chopped,,,,,,https://www.bbcgoodfood.com/recipes/2303638/family-meals-easy-lamb-tagine-,
52884,Lancashire hotpot,,Lamb,British,https://www.themealdb.com/images/media/meals/uttrxw1511637813.jpg,https://www.youtube.com/watch?v=w6TS5J8YRA4,Butter,Lamb,Lamb Kidney,Onions,Carrots,Plain Flour,Worcestershire Sauce,Chicken Stock,Bay Leaves,Potatoes,,,,,,,,,,,100g ,900g,3,2 medium,4 sliced,25g,2 tsp,500ml,2,900g,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/9099/lancashire-hotpot,
52880,McSinghs Scotch pie,,Lamb,British,https://www.themealdb.com/images/media/meals/vssrtx1511557680.jpg,https://www.youtube.com/watch?v=1nArqhRyszw,Cumin,Rapeseed Oil,Red Onions,Garlic Clove,Green Chilli,Red Pepper,Nutmeg,Coriander,Lamb Mince,Pepper,Coriander,Plain Flour,Salt,Milk,Lard,Egg Yolks,,,,,2 tsp,1 tbs,2 finely chopped,6,3 finely chopped,1 finely chopped ,1 tsp ,2 tsp,1kg,1 tsp ,3 tbs,340g,½ tsp,90 ml ,150g,Beaten,,,,,https://www.bbc.co.uk/food/recipes/mcsinghs_scotch_pie_98356,
52783,Rigatoni with fennel sausage sauce,,Lamb,Moroccan,https://www.themealdb.com/images/media/meals/qtqvys1468573168.jpg,https://www.youtube.com/watch?v=45dpOfESxr8,olive oil,Italian fennel sausages,onion,fennel bulb,smoky paprika,garlic,fennel seeds,red wine,chopped tomatoes,caster sugar,pitted black olives,rigatoni,pecorino,anchovy fillet,garlic,olive oil,basil leaves,,,,2½ tbsp,6 cut into 1.5cm-thick slices,1 large peeled and chopped,1 trimmed and roughly chopped, reserve any fronds to garnish,½ tsp,"1 clove, peeled and sliced",2 tsp lightly toasted and then gently crushed,100ml,400g tinned,½ tsp,50g cut in half lengthways,500g,30g roughly crumbled into 0.5cm pieces,1  rinsed and patted dry,"1 clove, peeled and crushed",60ml,50g torn,,,,http://www.ottolenghi.co.uk/recipes/meat/rigatoni-with-fennel-sausage-sauce-and-pecorino-and-anchovy-pesto-shop
52972,Tunisian Lamb Soup,,Lamb,Tunisian,https://www.themealdb.com/images/media/meals/t8mn9g1560460231.jpg,https://www.youtube.com/watch?v=w1qgTQmLRe4,Lamb Mince,Garlic,Onion,Spinach,Tomato Puree,Cumin,Chicken Stock,Harissa Spice,Chickpeas,Lemon Juice,Macaroni,Salt,Pepper,,,,,,,,500g,2 cloves minced,1,300g,3 tbs,1 tbs,1 Litre,3 tsp,400g,1/2 ,150g,Pinch,Pinch, , , , , , , ,http://allrecipes.co.uk/recipe/16694/tunisian-lamb-soup.aspx,
