id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52848,Bean & Sausage Hotpot,,Miscellaneous,British,https://www.themealdb.com/images/media/meals/vxuyrx1511302687.jpg,https://www.youtube.com/watch?v=B0YX0yPX4Wo,Sausages,Tomato Sauce,Butter Beans,Black Treacle,English Mustard,,,,,,,,,,,,,,,,8 large,1 Jar,1200g,1 tbls,1 tsp ,,,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/339607/bean-and-sausage-hotpot
52939,Callaloo Jamaican Style,,Miscellaneous,Jamaican,https://www.themealdb.com/images/media/meals/ussyxw1515364536.jpg,https://www.youtube.com/watch?v=bCr3GasJWwE,Kale,Bacon,Garlic,Onion,Paprika,Thyme,Tomato,Red Pepper,Banana,Vegetable Oil,,,,,,,,,,,1  bunch,2 strips,3 cloves Chopped,1 medium,1/2 tsp,1 Sprig,1,1,4,Splash,,,,,,,,,,,https://www.africanbites.com/callaloo-jamaican-style/
52969,Chakchouka ,,Miscellaneous,Tunisian,https://www.themealdb.com/images/media/meals/gpz67p1560458984.jpg,https://www.youtube.com/watch?v=EHKNu93MSx4,Tomatoes,Olive Oil,Onion,Red Pepper,Green Pepper,Garlic,Cumin,Paprika,Salt,Chili Powder,Eggs,,,,,,,,,,4,2 tbs,1 Diced,1 sliced,1 sliced,3 Cloves Crushed,1 tsp ,1 tsp ,3/4 teaspoon,1/2 teaspoon,4, , , , , , , , , ,https://www.curiouscuisiniere.com/chakchouka/
52907,Duck Confit,,Miscellaneous,French,https://www.themealdb.com/images/media/meals/wvpvsu1511786158.jpg,https://www.youtube.com/watch?v=MHhLJqghY-o,Sea Salt,Bay Leaf,Garlic,Thyme,Duck Legs,White Wine,,,,,,,,,,,,,,,Handful,4,4 cloves,Handful,4,100ml,,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/2085/barneys-confit-of-duck
52815,French Lentils With Garlic and Thyme,,Miscellaneous,French,https://www.themealdb.com/images/media/meals/vwwspt1487394060.jpg,https://www.youtube.com/watch?v=CrlTS1mJQMA,Olive Oil,Onion,Garlic,Carrot,French Lentils,Thyme,Bay Leaf,Salt,Celery,,,,,,,,,,,,3 tablespoons,1,2 cloves,1,2 1/4 cups,1 teaspoon,3,1 tablespoon,2 sticks,,,,,,,,,,,,
52915,French Omelette,,Miscellaneous,French,https://www.themealdb.com/images/media/meals/yvpuuy1511797244.jpg,https://www.youtube.com/watch?v=qXPhVYpQLPA,Eggs,Butter,Parmesan,Tarragon,Parsley,Chives,Gruyère,,,,,,,,,,,,,,3,2 knobs,1 tsp ,3 chopped,1 tbs chopped,1 tbs chopped,4 tbs,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1669/ultimate-french-omelette
52810,Osso Buco alla Milanese,,Miscellaneous,Italian,https://www.themealdb.com/images/media/meals/wwuqvt1487345467.jpg,https://www.youtube.com/watch?v=9GUTC2Qwrf0,Veal,Flour,Olive Oil,Butter,Onion,Carrot,Celery,Fennel,Garlic,Orange Zest,Marjoram,Bay Leaf,Dry White Wine,Chicken Stock,Tomatoes,Parsley,Garlic,Lemon Zest,,,4 meaty shanks,½ cup,2 tablespoons ,3 tablespoons,1 medium chopped into ½-inch pieces,1 chopped into ½-inch pieces,1 chopped into ½-inch pieces,1 bulb chopped into ½-inch pieces,3 cloves,2 strips,1 ½ teaspoons,1,1 cup,½ cup ,1 cup chopped with juice,2 tablespoons chopped,1 teaspoon minced,1 teaspoon grated ,,,https://www.cookstr.com/Meat/Osso-Buco-alla-Milanese
52804,Poutine,,Miscellaneous,Canadian,https://www.themealdb.com/images/media/meals/uuyrrx1487327597.jpg,https://www.youtube.com/watch?v=UVAMAoA2_WU,Vegetable Oil,Beef Gravy,Potatoes,Cheese Curds,,,,,,,,,,,,,,,,,Dash,1 Can,5 thin cut,2 cups,,,,,,,,,,,,,,,,,http://www.food.com/recipe/real-canadian-poutine-113388
52912,Three-cheese souffles,,Miscellaneous,French,https://www.themealdb.com/images/media/meals/sxwquu1511793428.jpg,https://www.youtube.com/watch?v=mS_gbQpBvZo,Butter,Parmesan,Milk,Bay Leaves,Plain Flour,English Mustard,Cayenne Pepper,Gruyère,Eggs,Goats Cheese,Double Cream,Spinach,,,,,,,,,50g,25g,300ml ,2,5 tbs,½ tsp,Pod of,140g,3,8 slices,150ml,to serve,,,,,,,,,https://www.bbcgoodfood.com/recipes/3028701/threecheese-souffls
52845,Turkey Meatloaf,,Miscellaneous,British,https://www.themealdb.com/images/media/meals/ypuxtw1511297463.jpg,https://www.youtube.com/watch?v=mTvlmY4vCug,Olive Oil,Onion,Garlic,Worcestershire Sauce,Tomato Puree,Turkey Mince,Eggs,Breadcrumbs,Barbeque Sauce,Cannellini Beans,Parsley,,,,,,,,,,1 tblsp ,1 large,1 clove peeled crushed,2 tblsp ,3 tsp,500g,1 large,85g,2 tblsp ,800g,2 tblsp ,,,,,,,,,,https://www.bbcgoodfood.com/recipes/turkey-meatloaf
