id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52959,Baked salmon with fennel & tomatoes,,Seafood,British,https://www.themealdb.com/images/media/meals/1548772327.jpg,https://www.youtube.com/watch?v=xvPR2Tfw5k0,Fennel,Parsley,Lemon,Cherry Tomatoes,Olive Oil,Salmon,Black Olives,,,,,,,,,,,,,,2 medium,2 tbs chopped,Juice of 1,175g,1 tbs,350g,to serve,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/7745/baked-salmon-with-fennel-and-tomatoes
52819,Cajun spiced fish tacos,,Seafood,Mexican,https://www.themealdb.com/images/media/meals/uvuyxu1503067369.jpg,https://www.youtube.com/watch?v=N4EdUt0Ou48,cajun,cayenne pepper,white fish,vegetable oil,flour tortilla,avocado,little gem lettuce,spring onion,salsa,sour cream,lemon,garlic,,,,,,,,,2 tbsp,1 tsp,4 fillets,1 tsp,8,1 sliced,2 shredded,4 shredded,1 x 300ml,1 pot,1,1 clove finely chopped,,,,,,,,,https://realfood.tesco.com/recipes/cajun-spiced-fish-tacos.html
52944,Escovitch Fish,,Seafood,Jamaican,https://www.themealdb.com/images/media/meals/1520084413.jpg,https://www.youtube.com/watch?v=nF6DOtGE6k8,Red Snapper,Vegetable Oil,Garlic,Ginger,Thyme,Bay Leaf,Red Pepper,Yellow Pepper,Onion,Carrots,Sugar,Allspice,Worcestershire Sauce,Scotch Bonnet,Lime,Malt Vinegar,Pepper,,,,2 Pounds,1/2 cup ,1 clove peeled crushed,1/2 tsp,2 sprigs,1,0.5,0.5,1 sliced,1 chopped,1 tbs,1/2 tsp,1 tsp ,1,1,3/4 cup ,pinch,,,,https://www.africanbites.com/jamaican-escovitched-fish/
52802,Fish pie,,Seafood,British,https://www.themealdb.com/images/media/meals/ysxwuq1487323065.jpg,https://www.youtube.com/watch?v=2sX4fCgg-UI,Floury Potatoes,Olive Oil,Semi-skimmed Milk,White Fish Fillets,Plain flour,Nutmeg,Double Cream,Jerusalem Artichokes,Leek,Prawns,Parsley,Dill,Lemon,Gruyère,Lemon,,,,,,900g,2 tbsp,600ml,800g,1 tbsp,Grating,3 tbsp,200g,1 finely sliced,200g peeled raw,Large handful,Handful,Grated zest of 1,25g grated,Juice of 1,,,,,,
52918,Fish Stew with Rouille,,Seafood,French,https://www.themealdb.com/images/media/meals/vptqpw1511798500.jpg,https://www.youtube.com/watch?v=fp9Lqx2EUco,Prawns,Olive Oil,Dry White Wine,Fish Stock,Fennel,Onion,Garlic,Potatoes,Orange,Star Anise,Bay Leaf,Harissa Spice,Tomato Puree,Chopped Tomatoes,Mussels,White Fish,Thyme,Bread,,,6 large,3 tbs,150ml,200ml,1 small finely diced,1 small finely diced,3 cloves Chopped,1 large,1,1,1,1 1/2 tsp ,2 tbs,400g,Handful,200g,2,to serve,,,https://www.bbcgoodfood.com/recipes/532640/summer-fish-stew-with-rouille
52764,Garides Saganaki,,Seafood,Greek,https://www.themealdb.com/images/media/meals/wuvryu1468232995.jpg,https://www.youtube.com/watch?v=uO0ejc85zSE,Raw king prawns,Olive oil,Chopped onion,Freshly chopped parsley,White wine,Chopped tomatoes,Minced garlic,Cubed Feta cheese,,,,,,,,,,,,,500g,3 tablespoons,1,pinch,250ml,1 (400g) tin,1/2 teaspoon,1 (200g) pack,,,,,,,,,,,,,
52773,Honey Teriyaki Salmon,,Seafood,Japanese,https://www.themealdb.com/images/media/meals/xxyupu1468262513.jpg,https://www.youtube.com/watch?v=4MpYuaJsvRw,Salmon,Olive oil,Soy Sauce,Sake,Sesame Seed,,,,,,,,,,,,,,,,1 lb,1 tablespoon,2 tablespoons,2 tablespoons,4 tablespoons,,,,,,,,,,,,,,,,
52887,Kedgeree,,Seafood,British,https://www.themealdb.com/images/media/meals/utxqpt1511639216.jpg,https://www.youtube.com/watch?v=_Pw1I1-SItE,Smoked Haddock,Bay Leaves,Milk,Eggs,Parsley,Coriander,Vegetable Oil,Onion,Coriander,Curry Powder,Rice,,,,,,,,,,300g,2,300ml ,4,Handful,Handful,2 tbs,1 chopped,1 tsp ,2 tsp,300g,,,,,,,,,,https://www.bbcgoodfood.com/recipes/10421/kedgeree
52946,Kung Po Prawns,,Seafood,Chinese,https://www.themealdb.com/images/media/meals/1525873040.jpg,https://www.youtube.com/watch?v=ysiuZm9FIxs,Prawns,Soy Sauce,Tomato Puree,Corn Flour,Caster Sugar,Sunflower Oil,Peanuts,Chilli,Brown Sugar,Garlic Clove,Water Chestnut,Ginger,,,,,,,,,400g,2 tbs,1 tsp ,1 tsp ,1 tsp ,1 tsp ,85g,3 Large,1 tbs,6 cloves,450g,to taste,,,,,,,,,https://www.bbcgoodfood.com/recipes/1415664/kung-po-prawns
52821,Laksa King Prawn Noodles,,Seafood,Malaysian,https://www.themealdb.com/images/media/meals/rvypwy1503069308.jpg,https://www.youtube.com/watch?v=OcarztU8cYo,Olive Oil,red chili,Thai red curry paste,vegetable stock cube,coconut milk,fish sauce,rice noodles,lime,king prawns,coriander,,,,,,,,,,,1 tbsp,1 finely sliced,2 ½ tbsp,1,400ml can,2 tsp,100g,"2 juice of 1, the other halved",150g,½ small pack,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/prawn-laksa-curry-bowl
