id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52807,Baingan Bharta,,Vegetarian,Indian,https://www.themealdb.com/images/media/meals/urtpqw1487341253.jpg,https://www.youtube.com/watch?v=-84Zz2EP4h4,Aubergine,Onion,Tomatoes,Garlic,Green Chili,Red Chili Powder,Oil,Coriander Leaves,salt,,,,,,,,,,,,1 large,½ cup ,1 cup,6 cloves,1,¼ teaspoon,1.5 tablespoon,1 tablespoon chopped,as required,,,,,,,,,,,,http://www.vegrecipesofindia.com/baingan-bharta-recipe-punjabi-baingan-bharta-recipe/
52870,Chickpea Fajitas,,Vegetarian,Mexican,https://www.themealdb.com/images/media/meals/tvtxpq1511464705.jpg,https://www.youtube.com/watch?v=LGY3V7EGpT0,Chickpeas,Olive Oil,Paprika,Tomatoes,Red Onions,Red Wine Vinegar,Avocado,Lime,Lime,Sour Cream,Harissa Spice,Corn Tortillas,Coriander,,,,,,,,400g,1 tblsp ,pinch,2 small cut chunks,1 finely sliced,2 tsp,1,Juice of 1,Chopped,100g ,2 tsp,4,to serve,,,,,,,,https://www.bbcgoodfood.com/recipes/chickpea-fajitas
52785,Dal fry,,Vegetarian,Indian,https://www.themealdb.com/images/media/meals/wuxrtu1483564410.jpg,https://www.youtube.com/watch?v=J4D855Q9-jg,Toor dal,Water,Salt,Turmeric,Ghee,Chopped tomatoes,Cumin seeds,Mustard Seeds,Bay Leaf,Green Chili,Ginger,Cilantro,Red Pepper,Salt,Sugar,Garam Masala,,,,,1 cup,2-1/2 cups,1 tsp,1/4 tsp,3 tbs,1 cup,1/2 tsp,1/2 tsp,2,1 tbs chopped,2 tsp shredded,2 tbs ,1/2 tsp,1/2 tsp,1 tsp,1/4 tsp,,,,,https://www.instagram.com/p/BO21bpYD3Fu
52955,Egg Drop Soup,,Vegetarian,Chinese,https://www.themealdb.com/images/media/meals/1529446137.jpg,https://www.youtube.com/watch?v=9XpzHm9QpZg,Chicken Stock,Salt,Sugar,Pepper,Sesame Seed Oil,Peas,Mushrooms,Cornstarch,Water,Spring Onions,,,,,,,,,,,3 cups ,1/4 tsp,1/4 tsp,pinch,1 tsp ,1/3 cup,1/3 cup,1 tbs,2 tbs,1/4 cup,,,,,,,,,,,https://sueandgambo.com/pages/egg-drop-soup
52906,Flamiche,,Vegetarian,French,https://www.themealdb.com/images/media/meals/wssvvs1511785879.jpg,https://www.youtube.com/watch?v=vT0q5c880Rg,Butter,Leek,Salt,Creme Fraiche,Egg,Egg Yolks,Nutmeg,Plain Flour,Salt,Butter,Lard,Cheddar Cheese,Water,,,,,,,,75g,1kg,½ tsp,300ml ,1,3,¼ teaspoon,225g,½ tsp,60g,60g,50g,2 tbs,,,,,,,,http://www.deliciousmagazine.co.uk/recipes/flamiche-flemish-leek-tart/
52971,Kafteji,,Vegetarian,Tunisian,https://www.themealdb.com/images/media/meals/1bsv1q1560459826.jpg,https://www.youtube.com/watch?v=-TFf-Zu-xQU,Potatoes,Olive Oil,Green Pepper,Onions,Ras el hanout,Pumpkin,Eggs,Salt,Pepper,,,,,,,,,,,,5 Large,2 tbs,1,5,1 tbs,500g,24 Skinned,Pinch,Pinch, , , , , , , , , , , ,http://allrecipes.co.uk/recipe/12294/kafteji--tunisian-fried-vegetables-.aspx
52868,Kidney Bean Curry,,Vegetarian,Indian,https://www.themealdb.com/images/media/meals/sywrsu1511463066.jpg,https://www.youtube.com/watch?v=Tp_PMWvIKzo,Vegetable Oil,Onion,Garlic,Ginger,Coriander,Cumin,Paprika,Garam Masala,Chopped Tomatoes,Kidney Beans,Basmati Rice,,,,,,,,,,1 tbls,1 finely chopped ,2 cloves chopped,1 part ,1 Packet,1 tsp ,1 tsp ,2 tsp,400g,400g,to serve,,,,,,,,,,https://www.bbcgoodfood.com/recipes/kidney-bean-curry
52973,Leblebi Soup,,Vegetarian,Tunisian,https://www.themealdb.com/images/media/meals/x2fw9e1560460636.jpg,https://www.youtube.com/watch?v=BgRifcCwinY,Olive Oil,Onion,Chickpeas,Vegetable Stock,Cumin,Garlic,Salt,Harissa Spice,Pepper,Lime,,,,,,,,,,,2 tbs,1 medium finely diced,250g,1.5L,1 tsp ,5 cloves,1/2 tsp,1 tsp ,Pinch,1/2 , , , , , , , , , , ,http://allrecipes.co.uk/recipe/43419/leblebi--tunisian-chickpea-soup-.aspx
52865,Matar Paneer,,Vegetarian,Indian,https://www.themealdb.com/images/media/meals/xxpqsy1511452222.jpg,https://www.youtube.com/watch?v=wlseYNqwLNs,Sunflower Oil,Paneer,Ginger,Cumin,Turmeric,Coriander,Green Chilli,Tomato,Peas,Garam Masala,Coriander,Naan Bread,,,,,,,,,1 tbls,225g,2,1 tsp ,1 tsp ,1 tsp ,1,4 large,150g,1 tsp ,Small bunch,to serve,,,,,,,,,https://www.bbcgoodfood.com/recipes/matar-paneer
52864,Mushroom & Chestnut Rotolo,,Vegetarian,British,https://www.themealdb.com/images/media/meals/ssyqwr1511451678.jpg,https://www.youtube.com/watch?v=GNN7_ZSJ5YE,Mushrooms,Chestnuts,Challots,Garlic,Rosemary,Wild Mushrooms,Soy Sauce,White Wine,Lasagne Sheets,Breadcrumbs,Sage,Truffle Oil,,,,,,,,,30g,240g,3,3 cloves,3 sprigs,500g,2 tblsp ,125ml ,350g,4 tbsp,1/2 handful ,to serve,,,,,,,,,https://www.bbcgoodfood.com/recipes/mushroom-chestnut-rotolo
